record_Id,group,dataSetName,lon,lat,elev,archive,proxy,age,resolution,temperature,temperature_type,season,continent
MilandreCave.Affolter.2019_0_0,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,-19.5,35,8.3,absolute,annual,1
MilandreCave.Affolter.2019_0_1,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,131.5,35,8.9,absolute,annual,1
MilandreCave.Affolter.2019_0_2,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,138.5,35,7.7,absolute,annual,1
MilandreCave.Affolter.2019_0_3,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,146,35,7.9,absolute,annual,1
MilandreCave.Affolter.2019_0_4,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,151,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_5,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,157,35,8.5,absolute,annual,1
MilandreCave.Affolter.2019_0_6,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,164.5,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_7,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,172,35,7.4,absolute,annual,1
MilandreCave.Affolter.2019_0_8,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,180.5,35,7.4,absolute,annual,1
MilandreCave.Affolter.2019_0_9,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,190.5,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_10,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,203.5,35,7.8,absolute,annual,1
MilandreCave.Affolter.2019_0_11,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,217,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_12,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,226.5,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_13,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,246,35,8.3,absolute,annual,1
MilandreCave.Affolter.2019_0_14,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,253.5,35,9.2,absolute,annual,1
MilandreCave.Affolter.2019_0_15,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,261,35,7.9,absolute,annual,1
MilandreCave.Affolter.2019_0_16,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,269,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_17,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,277.5,35,8.4,absolute,annual,1
MilandreCave.Affolter.2019_0_18,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,288.5,35,7.8,absolute,annual,1
MilandreCave.Affolter.2019_0_19,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,300,35,6.9,absolute,annual,1
MilandreCave.Affolter.2019_0_20,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,311,35,7.3,absolute,annual,1
MilandreCave.Affolter.2019_0_21,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,323.5,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_22,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,336,35,9.2,absolute,annual,1
MilandreCave.Affolter.2019_0_23,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,346.5,35,7.8,absolute,annual,1
MilandreCave.Affolter.2019_0_24,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,356,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_25,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,365,35,7.6,absolute,annual,1
MilandreCave.Affolter.2019_0_26,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,373.5,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_27,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,385,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_28,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,396.5,35,7.7,absolute,annual,1
MilandreCave.Affolter.2019_0_29,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,410.5,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_30,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,423,35,7.9,absolute,annual,1
MilandreCave.Affolter.2019_0_31,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,435.5,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_32,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,452.5,35,7.3,absolute,annual,1
MilandreCave.Affolter.2019_0_33,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,470.5,35,7.5,absolute,annual,1
MilandreCave.Affolter.2019_0_34,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,487.5,35,7.4,absolute,annual,1
MilandreCave.Affolter.2019_0_35,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,507.5,35,7.6,absolute,annual,1
MilandreCave.Affolter.2019_0_36,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,551,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_37,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,597.5,35,7.6,absolute,annual,1
MilandreCave.Affolter.2019_0_38,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,625,35,7.9,absolute,annual,1
MilandreCave.Affolter.2019_0_39,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,651,35,7.2,absolute,annual,1
MilandreCave.Affolter.2019_0_40,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,671,35,8.4,absolute,annual,1
MilandreCave.Affolter.2019_0_41,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,693.5,35,8.7,absolute,annual,1
MilandreCave.Affolter.2019_0_42,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,707,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_43,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,719.5,35,8.5,absolute,annual,1
MilandreCave.Affolter.2019_0_44,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,730.5,35,8.4,absolute,annual,1
MilandreCave.Affolter.2019_0_45,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,739.5,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_46,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,747.5,35,7.8,absolute,annual,1
MilandreCave.Affolter.2019_0_47,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,758,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_48,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,769,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_49,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,788,35,7.9,absolute,annual,1
MilandreCave.Affolter.2019_0_50,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,813,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_51,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,832.5,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_52,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,858,35,8.6,absolute,annual,1
MilandreCave.Affolter.2019_0_53,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,887,35,7.8,absolute,annual,1
MilandreCave.Affolter.2019_0_54,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,921,35,7.9,absolute,annual,1
MilandreCave.Affolter.2019_0_55,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,953.5,35,8.5,absolute,annual,1
MilandreCave.Affolter.2019_0_56,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,977,35,8.3,absolute,annual,1
MilandreCave.Affolter.2019_0_57,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1009,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_58,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1034,35,8.4,absolute,annual,1
MilandreCave.Affolter.2019_0_59,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1062,35,8.3,absolute,annual,1
MilandreCave.Affolter.2019_0_60,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1091,35,7.8,absolute,annual,1
MilandreCave.Affolter.2019_0_61,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1115,35,7.7,absolute,annual,1
MilandreCave.Affolter.2019_0_62,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1136,35,8.3,absolute,annual,1
MilandreCave.Affolter.2019_0_63,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1158,35,7.7,absolute,annual,1
MilandreCave.Affolter.2019_0_64,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1179.5,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_65,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1219,35,7.7,absolute,annual,1
MilandreCave.Affolter.2019_0_66,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1237,35,7.9,absolute,annual,1
MilandreCave.Affolter.2019_0_67,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1257.5,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_68,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1276,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_69,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1313.5,35,8.3,absolute,annual,1
MilandreCave.Affolter.2019_0_70,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1335,35,7.8,absolute,annual,1
MilandreCave.Affolter.2019_0_71,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1370.5,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_72,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1392.5,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_73,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1416,35,7.8,absolute,annual,1
MilandreCave.Affolter.2019_0_74,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,1441.5,35,8.2,absolute,annual,1
